"interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"pp","9606.ENSP00000356959 (pp) 9606.ENSP00000419692","false","pp","9606.ENSP00000356959 (pp) 9606.ENSP00000419692","0.0","0.0","0.0","0.936","0.0",,"0.0","0.987","0.805"
"pp","9606.ENSP00000356959 (pp) 9606.ENSP00000378488","false","pp","9606.ENSP00000356959 (pp) 9606.ENSP00000378488","0.08","0.0","0.0","0.056","0.0",,"0.0","0.789","0.776"
"pp","9606.ENSP00000365651 (pp) 9606.ENSP00000365663","false","pp","9606.ENSP00000365651 (pp) 9606.ENSP00000365663","0.424","0.0","0.0","0.0","0.0",,"0.0","0.981","0.968"
"pp","9606.ENSP00000340943 (pp) 9606.ENSP00000381333","false","pp","9606.ENSP00000340943 (pp) 9606.ENSP00000381333","0.131","0.046","0.9","0.0","0.0",,"0.0","0.912","0.072"
"pp","9606.ENSP00000340943 (pp) 9606.ENSP00000384092","false","pp","9606.ENSP00000340943 (pp) 9606.ENSP00000384092","0.086","0.0","0.0","0.0","0.0",,"0.0","0.9","0.895"
"pp","9606.ENSP00000340608 (pp) 9606.ENSP00000344220","false","pp","9606.ENSP00000340608 (pp) 9606.ENSP00000344220","0.0","0.107","0.9","0.454","0.0",,"0.0","0.954","0.175"
"pp","9606.ENSP00000340608 (pp) 9606.ENSP00000379842","false","pp","9606.ENSP00000340608 (pp) 9606.ENSP00000379842","0.0","0.061","0.9","0.329","0.0",,"0.0","0.934","0.08"
"pp","9606.ENSP00000340608 (pp) 9606.ENSP00000356832","false","pp","9606.ENSP00000340608 (pp) 9606.ENSP00000356832","0.0","0.058","0.9","0.0","0.0",,"0.0","0.904","0.071"
"pp","9606.ENSP00000340510 (pp) 9606.ENSP00000377508","false","pp","9606.ENSP00000340510 (pp) 9606.ENSP00000377508","0.158","0.0","0.5","0.052","0.0",,"0.0","0.779","0.512"
"pp","9606.ENSP00000340402 (pp) 9606.ENSP00000406220","false","pp","9606.ENSP00000340402 (pp) 9606.ENSP00000406220","0.054","0.0","0.0","0.0","0.0",,"0.0","0.953","0.952"
"pp","9606.ENSP00000339916 (pp) 9606.ENSP00000432660","false","pp","9606.ENSP00000339916 (pp) 9606.ENSP00000432660","0.066","0.0","0.9","0.555","0.0",,"0.0","0.995","0.899"
"pp","9606.ENSP00000338186 (pp) 9606.ENSP00000365851","false","pp","9606.ENSP00000338186 (pp) 9606.ENSP00000365851","0.05","0.0","0.9","0.583","0.0",,"0.0","0.989","0.758"
"pp","9606.ENSP00000338186 (pp) 9606.ENSP00000354724","false","pp","9606.ENSP00000338186 (pp) 9606.ENSP00000354724","0.049","0.0","0.9","0.091","0.0",,"0.0","0.938","0.373"
"pp","9606.ENSP00000338186 (pp) 9606.ENSP00000419494","false","pp","9606.ENSP00000338186 (pp) 9606.ENSP00000419494","0.0","0.0","0.0","0.095","0.0",,"0.0","0.705","0.687"
"pp","9606.ENSP00000338171 (pp) 9606.ENSP00000346671","false","pp","9606.ENSP00000338171 (pp) 9606.ENSP00000346671","0.072","0.0","0.0","0.735","0.0",,"0.0","0.972","0.899"
"pp","9606.ENSP00000338010 (pp) 9606.ENSP00000363318","false","pp","9606.ENSP00000338010 (pp) 9606.ENSP00000363318","0.226","0.225","0.9","0.0","0.0",,"0.0","0.996","0.951"
