compound_id,smiles,addiction_status,compound_name,parent_smiles,inchikey,butina_cluster_id,butina_cluster_type,bbb_MW,bbb_TPSA,bbb_HBD,bbb_HBA,bbb_RotB,bbb_clogP,bbb_rings,bbb_fr_ArRings,bbb_heuristic_score,bbb_permeable_heuristic,bbb_permeable_egg
NEW00734,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21,0,LOMEFLOXACIN,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21,ZEKZLJVOYLTDKK-UHFFFAOYSA-N,2103,non-addictive_only,351.353,74.57000000000001,2,5,3,1.7959,3,2,5,1,1
NEW00733,CN1Cc2c(N)cccc2C(c2ccccc2)C1,0,NOMIFENSINE,CN1Cc2c(N)cccc2C(c2ccccc2)C1,XXPANQJNYNUNES-UHFFFAOYSA-N,2104,non-addictive_only,238.334,29.259999999999998,1,2,1,2.8461000000000016,3,2,5,1,1
NEW00732,Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,0,RIMONABANT,Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,JZCPYUJPEARBJL-UHFFFAOYSA-N,2105,non-addictive_only,463.79600000000016,50.160000000000004,1,4,4,5.938620000000005,4,3,4,1,0
NEW00730,Cc1cccc(C)c1OCC(C)N,0,MEXILETINE,Cc1cccc(C)c1OCC(C)N,VLPIATFUUWWMKC-UHFFFAOYSA-N,2106,non-addictive_only,179.26299999999998,35.25,1,2,3,2.0294399999999997,1,1,5,1,1
NEW00728,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,0,BENZNIDAZOLE,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,CULUWZNBISUWAS-UHFFFAOYSA-N,2108,non-addictive_only,260.253,90.06,1,5,5,1.1077,2,2,4,1,0
NEW00727,CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)CCN1,0,TEMAFLOXACIN,CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)CCN1,QKDHBVNJCZBTMR-UHFFFAOYSA-N,2109,non-addictive_only,417.38700000000006,74.57,2,5,3,2.904300000000001,4,3,5,1,1
NEW00726,CCCC(CCC)C(=O)O,0,VALPROIC ACID,CCCC(CCC)C(=O)O,NIJJYAXOARWZEE-UHFFFAOYSA-N,2110,non-addictive_only,144.214,37.3,1,1,5,2.2874,0,0,5,1,1
NEW00725,COC(=O)[C@@H]1[C@H]2C[C@H]3c4[nH]c5ccccc5c4CCN3C[C@@H]2CC[C@@H]1O,0,YOHIMBINE,COC(=O)[C@@H]1[C@H]2C[C@H]3c4[nH]c5ccccc5c4CCN3C[C@@H]2CC[C@@H]1O,BLGXFZZNTVWLAY-SCYLSFHTSA-N,2111,non-addictive_only,354.4500000000001,65.56,2,4,1,2.6471000000000013,5,2,5,1,1
NEW00724,NC(=O)N1c2ccccc2C=Cc2ccccc21,0,CARBAMAZEPINE,NC(=O)N1c2ccccc2C=Cc2ccccc21,FFGPTBGBLSHEPO-UHFFFAOYSA-N,2112,non-addictive_only,236.274,46.330000000000005,1,1,0,3.3872000000000018,3,2,5,1,1
NEW00723,O=C(CCCN1CCC(O)(c2cccc(C(F)(F)F)c2)CC1)c1ccc(F)cc1,0,TRIFLUPERIDOL,O=C(CCCN1CCC(O)(c2cccc(C(F)(F)F)c2)CC1)c1ccc(F)cc1,GPMXUUPHFNMNDH-UHFFFAOYSA-N,2113,non-addictive_only,409.4230000000002,40.540000000000006,1,3,6,4.791000000000004,3,2,5,1,1
