source,target,weight,interaction,addiction_status,compound_name
PLK4,PLK1,0.956,PPI,NA,NA
PLK4,CDK1,0.946,PPI,NA,NA
PLK4,TOP2A,0.904,PPI,NA,NA
PLK4,CEP63,0.902,PPI,NA,NA
PLK4,NEDD1,0.891,PPI,NA,NA
PLK4,TTK,0.88,PPI,NA,NA
PLK4,BTRC,0.869,PPI,NA,NA
PLK4,CNTLN,0.854,PPI,NA,NA
PLK4,RACGAP1,0.793,PPI,NA,NA
PLK4,SMC4,0.762,PPI,NA,NA
PLK4,AURKB,0.726,PPI,NA,NA
NR4A2,TH,0.837,PPI,NA,NA
NR4A2,SLC18A2,0.802,PPI,NA,NA
NR4A2,NR4A1,0.782,PPI,NA,NA
NR4A2,RXRB,0.704,PPI,NA,NA
SLC6A3,TH,0.95,PPI,NA,NA
SLC6A3,NR4A2,0.788,PPI,NA,NA
SLC6A3,LRTOMT,0.781,PPI,NA,NA
SLC6A3,ANKK1,0.702,PPI,NA,NA
SCYL1,TMED3,0.723,PPI,NA,NA
CYP4F22,ALOXE3,0.868,PPI,NA,NA
CYP4F22,ALOX12B,0.843,PPI,NA,NA
IGFBP4,PAPPA2,0.827,PPI,NA,NA
BCAR1,NCK1,0.961,PPI,NA,NA
BCAR1,PTK6,0.943,PPI,NA,NA
BCAR1,LYN,0.887,PPI,NA,NA
BCAR1,AKT1,0.828,PPI,NA,NA
PTK6,STAP2,0.996,PPI,NA,NA
PTK6,ARHGAP35,0.941,PPI,NA,NA
PTK6,AKT1,0.927,PPI,NA,NA
AR,NKX3-1,0.95,PPI,NA,NA
AR,AKT1,0.895,PPI,NA,NA
AR,ERG,0.893,PPI,NA,NA
AR,TNK2,0.823,PPI,NA,NA
AR,IGF1R,0.808,PPI,NA,NA
AR,CYP19A1,0.787,PPI,NA,NA
BRAF,AKT1,0.783,PPI,NA,NA
KSR1,MARK3,0.976,PPI,NA,NA
KSR1,BRAF,0.939,PPI,NA,NA
KSR1,KSR2,0.93,PPI,NA,NA
ARHGAP1,TRIP10,0.876,PPI,NA,NA
RHCG,CD47,0.787,PPI,NA,NA
STAR,TSPO,0.993,PPI,NA,NA
STAR,NR5A1,0.962,PPI,NA,NA
STAR,CYP19A1,0.878,PPI,NA,NA
STAR,CYP11B1,0.868,PPI,NA,NA
STAR,PRKACB,0.863,PPI,NA,NA
STAR,PRKACA,0.863,PPI,NA,NA
STAR,ACBD3,0.796,PPI,NA,NA
STAR,PCTP,0.791,PPI,NA,NA
STAR,POMC,0.77,PPI,NA,NA
STAR,LHCGR,0.77,PPI,NA,NA
STAR,SCP2,0.767,PPI,NA,NA
STAR,FSHR,0.74,PPI,NA,NA
STAR,SIGMAR1,0.72,PPI,NA,NA
STAR,INSL3,0.709,PPI,NA,NA
CYP11A1,STAR,0.979,PPI,NA,NA
CYP11A1,CYP7B1,0.948,PPI,NA,NA
CYP11A1,NR5A1,0.913,PPI,NA,NA
CYP11A1,LHCGR,0.865,PPI,NA,NA
CYP11A1,POMC,0.835,PPI,NA,NA
CYP11A1,FSHR,0.822,PPI,NA,NA
CYP11A1,TSPO,0.786,PPI,NA,NA
CYP11A1,SRD5A1,0.785,PPI,NA,NA
CYP11A1,INSL3,0.774,PPI,NA,NA
TRIP11,ARF1,0.959,PPI,NA,NA
JDP2,ARL4C,0.908,PPI,NA,NA
JDP2,PGR,0.755,PPI,NA,NA
RSPO3,LGR4,0.999,PPI,NA,NA
RSPO3,FURIN,0.739,PPI,NA,NA
DCLK1,DCX,0.886,PPI,NA,NA
LGR5,RSPO3,0.987,PPI,NA,NA
LGR5,LGR4,0.95,PPI,NA,NA
LGR5,PROM1,0.831,PPI,NA,NA
LGR5,BMI1,0.759,PPI,NA,NA
LGR5,DCLK1,0.718,PPI,NA,NA
LGR5,EGFR,0.717,PPI,NA,NA
FZD4,RYK,0.975,PPI,NA,NA
DRAP1,POLE3,0.724,PPI,NA,NA
BTAF1,DRAP1,0.956,PPI,NA,NA
SNX9,PIK3R1,0.759,PPI,NA,NA
SNX9,NECAP1,0.703,PPI,NA,NA
ACAA2,HMGCS2,0.996,PPI,NA,NA
ACAA2,HMGCS1,0.995,PPI,NA,NA
ACAA2,ACAT2,0.922,PPI,NA,NA
ACAA2,ETFDH,0.81,PPI,NA,NA
ACAA2,SCP2,0.742,PPI,NA,NA
ACAA2,HIBCH,0.73,PPI,NA,NA
ACAT1,HMGCS2,0.997,PPI,NA,NA
ACAT1,HMGCS1,0.997,PPI,NA,NA
ACAT1,ACAA2,0.963,PPI,NA,NA
ACAT1,ACAT2,0.95,PPI,NA,NA
ACAT1,HIBCH,0.751,PPI,NA,NA
ACAT1,SCP2,0.724,PPI,NA,NA
RHCE,CD47,0.932,PPI,NA,NA
RHCE,RHD,0.839,PPI,NA,NA
ANK1,RHCE,0.927,PPI,NA,NA
ANK1,CALML3,0.866,PPI,NA,NA
ANK1,ERBB2,0.821,PPI,NA,NA
ANK1,TRPC1,0.768,PPI,NA,NA
ANK1,ILK,0.738,PPI,NA,NA
ANK1,TRPC6,0.717,PPI,NA,NA
NPTX2,AVP,0.833,PPI,NA,NA
CLCN2,GABRG2,0.892,PPI,NA,NA
CLCN2,GABRA1,0.876,PPI,NA,NA
CLCN2,KCNMB3,0.796,PPI,NA,NA
CLCN2,GABRD,0.776,PPI,NA,NA
CLCN2,SCN1B,0.709,PPI,NA,NA
NRXN1,GPHN,0.831,PPI,NA,NA
NRXN1,SDCBP,0.819,PPI,NA,NA
SHANK2,CTTN,0.969,PPI,NA,NA
SHANK2,NRXN1,0.914,PPI,NA,NA
SHANK2,HOMER3,0.799,PPI,NA,NA
SHBG,CYP19A1,0.769,PPI,NA,NA
SHBG,NRXN1,0.742,PPI,NA,NA
GRM5,HOMER1,0.999,PPI,NA,NA
GRM5,HOMER3,0.929,PPI,NA,NA
GRM5,SHANK2,0.869,PPI,NA,NA
GRM5,GRIN2A,0.841,PPI,NA,NA
GRM5,DPP6,0.787,PPI,NA,NA
GRM5,NRXN1,0.766,PPI,NA,NA
GRM5,OPRM1,0.703,PPI,NA,NA
NRXN2,NRXN1,0.922,PPI,NA,NA
NRXN2,SHANK2,0.88,PPI,NA,NA
NRXN2,GPHN,0.831,PPI,NA,NA
NRXN2,SDCBP,0.826,PPI,NA,NA
NRXN2,GRM5,0.713,PPI,NA,NA
ITIH2,ITIH3,0.787,PPI,NA,NA
THOC6,POLDIP3,0.719,PPI,NA,NA
THOC3,POLDIP3,0.786,PPI,NA,NA
PLEKHM1,ARL8B,0.958,PPI,NA,NA
RAB5B,RAB5C,0.966,PPI,NA,NA
NAPEPLD,GPR55,0.801,PPI,NA,NA
NAPEPLD,TRPV1,0.771,PPI,NA,NA
ACSL4,GPX4,0.834,PPI,NA,NA
MGLL,NAPEPLD,0.92,PPI,NA,NA
MGLL,ACSL4,0.868,PPI,NA,NA
MGLL,GPR55,0.776,PPI,NA,NA
MGLL,TRPV1,0.728,PPI,NA,NA
WDR31,RPS19,0.972,PPI,NA,NA
WDR31,RPL17,0.855,PPI,NA,NA
VEZT,RPL17,0.714,PPI,NA,NA
SUMF1,ARSI,0.759,PPI,NA,NA
ARSB,SUMF1,0.947,PPI,NA,NA
F13A1,APLNR,0.784,PPI,NA,NA
HNF4A,MTTP,0.775,PPI,NA,NA
HNF4A,CYP8B1,0.764,PPI,NA,NA
NR5A2,NCOA2,0.964,PPI,NA,NA
NR5A2,FABP6,0.733,PPI,NA,NA
ESRRG,ESRRB,0.748,PPI,NA,NA
TFB1M,MRPS16,0.93,PPI,NA,NA
TFB1M,SSBP1,0.74,PPI,NA,NA
SLC22A9,SLCO2B1,0.711,PPI,NA,NA
SLC2A9,SLC22A9,0.738,PPI,NA,NA
SETD7,DPY30,0.836,PPI,NA,NA
SETD7,E2F1,0.753,PPI,NA,NA
SETD7,WDR5,0.735,PPI,NA,NA
HNMT,MAOA,0.948,PPI,NA,NA
HNMT,MAOB,0.947,PPI,NA,NA
HNMT,WDR5,0.818,PPI,NA,NA
MXD1,AKT1,0.744,PPI,NA,NA
GPHN,SLC6A5,0.85,PPI,NA,NA
GPHN,ATP6V0B,0.719,PPI,NA,NA
